indice_tiempo,tipo_cambio_real_estados_unidos
2010-10-22,98.05444288434285
2010-10-23,97.96382472734464
2010-10-24,97.87329031617308
2010-10-25,97.75812196990124
2010-10-26,97.74186194274401
2010-10-27,97.65153266106856
2010-10-28,97.53663772059231
2010-10-29,97.44649809927532
2010-10-30,97.35644178154064
2010-10-31,97.26646869040235
2010-11-01,97.2628977313057
2010-11-02,97.18563939448714
2010-11-03,97.10843622711715
2010-11-04,97.10487106989108
2010-11-05,97.02773825757693
2010-11-06,96.97516157650965
2010-11-07,96.92261338530977
2010-11-08,96.99246619717572
2010-11-09,96.9154473854134
2010-11-10,96.8384835629212
2010-11-11,96.81044417488756
2010-11-12,96.83124974124412
2010-11-13,96.77877953193685
2010-11-14,96.72633775480276
2010-11-15,96.79583350464264
2010-11-16,96.81648831702086
2010-11-17,96.76402610652609
2010-11-18,96.71159232387028
2010-11-19,96.65918695364904
2010-11-20,96.6068099804665
2010-11-21,96.55446138893505
2010-11-22,96.50214116367545
2010-11-23,96.44984928931679
2010-11-24,96.39758575049652
2010-11-25,96.39385058246788
2010-11-26,96.46280181220446
2010-11-27,96.41053125476583
2010-11-28,96.3582890213145
2010-11-29,96.4270626280308
2010-11-30,96.44736461969366
2010-12-01,96.2864586472179
2010-12-02,96.17399827980414
2010-12-03,96.0857689752388
2010-12-04,96.04588487533205
2010-12-05,96.00601733085735
2010-12-06,95.96616633494287
2010-12-07,95.92633188071942
2010-12-08,95.88651396132065
2010-12-09,95.82261837366157
2010-12-10,95.73467511455456
2010-12-11,95.6949367496798
2010-12-12,95.6552148797442
2010-12-13,95.56740106544912
2010-12-14,95.55177636570913
2010-12-15,95.51211392000582
2010-12-16,95.49649221249899
2010-12-17,95.43283841204344
2010-12-18,95.39322533611966
2010-12-19,95.35362870312905
2010-12-20,95.31404850624628
2010-12-21,95.25051028350588
2010-12-22,95.18700838627369
2010-12-23,95.29122468896126
2010-12-24,95.25167039526859
2010-12-25,95.21213252010924
2010-12-26,95.17261105666809
2010-12-27,95.27659484579216
2010-12-28,95.16533198123669
2010-12-29,95.05414506854478
2010-12-30,94.96691910384945
2010-12-31,94.92749942568304
2011-01-01,94.90390526659957
2011-01-02,94.88031697182673
2011-01-03,94.78516255710518
2011-01-04,94.76160377574408
2011-01-05,94.714205380268
2011-01-06,94.6906642352602
2011-01-07,94.810130646736
2011-01-08,94.78656565957485
2011-01-09,94.76300652947369
2011-01-10,94.73945325497671
2011-01-11,94.71590583462853
2011-01-12,94.64475624069605
2011-01-13,94.62123235722004
2011-01-14,94.64529868392805
2011-01-15,94.62177466562815
2011-01-16,94.59825649420547
2011-01-17,94.598518613699
2011-01-18,94.67008036803699
2011-01-19,94.64655019026806
2011-01-20,94.6230258609072
2011-01-21,94.59950737850086
2011-01-22,94.5759947415958
2011-01-23,94.552487948739
2011-01-24,94.5764532234333
2011-01-25,94.67158238477259
2011-01-26,94.64805183367851
2011-01-27,94.74310423275335
2011-01-28,94.86181306025892
2011-01-29,94.83823522747251
2011-01-30,94.81466325493885
2011-01-31,94.95694010045864
2011-02-01,94.95515528652642
2011-02-02,95.11911860121096
2011-02-03,95.04625920600292
2011-02-04,95.06809782169591
2011-02-05,95.04259769546144
2011-02-06,95.01710440912856
2011-02-07,95.0389127669174
2011-02-08,94.96613834882963
2011-02-09,94.94066557119564
2011-02-10,94.98608476401111
2011-02-11,95.00785071905159
2011-02-12,94.982366752904
2011-02-13,94.95688962232343
2011-02-14,94.95502236359808
2011-02-15,94.97674598175848
2011-02-16,94.90408960338013
2011-02-17,94.9022175191672
2011-02-18,94.90033961115135
2011-02-19,94.87488448271992
2011-02-20,94.84943618212036
2011-02-21,94.8946709768685
2011-02-22,94.86921736893551
2011-02-23,94.86731670823495
2011-02-24,94.81833063351029
2011-02-25,94.81643099230179
2011-02-26,94.79099837068838
2011-02-27,94.7655725708698
2011-02-28,94.76366814886958
2011-03-01,94.72274470461305
2011-03-02,94.63486791109932
2011-03-03,94.54706682166788
2011-03-04,94.50624273515994
2011-03-05,94.44199572100821
2011-03-06,94.37779238311217
2011-03-07,94.31363269178001
2011-03-08,94.24951661733999
2011-03-09,94.25555736398435
2011-03-10,94.14477039042644
2011-03-11,94.01075117374785
2011-03-12,93.94684100351705
2011-03-13,93.8829742805495
