indice_tiempo,tipo_cambio_real_multilateral_actual
2007-11-16,159.63628407175992
2007-11-17,159.68075006490258
2007-11-18,159.72522844385446
2007-11-19,158.9377741133435
2007-11-20,159.54023407383082
2007-11-21,159.53147892427032
2007-11-22,159.6686456388127
2007-11-23,159.07943503538846
2007-11-24,159.1237459206521
2007-11-25,159.1680691485204
2007-11-26,158.56152558682774
2007-11-27,158.52911084504981
2007-11-28,159.7716646378151
2007-11-29,159.6032611926114
2007-11-30,159.41288204960458
2007-12-01,159.3954383582113
2007-12-02,159.3780721271303
2007-12-03,159.07494797253898
2007-12-04,158.71976252328707
2007-12-05,158.7357552853873
2007-12-06,159.46126780613378
2007-12-07,160.14123003389562
2007-12-08,160.12378254835275
2007-12-09,160.10633696372415
2007-12-10,160.21678042504112
2007-12-11,160.4356281179304
2007-12-12,159.80878996813288
2007-12-13,159.54875592114476
2007-12-14,158.54153561732159
2007-12-15,158.52426241946966
2007-12-16,158.50699110354333
2007-12-17,157.6765875680417
2007-12-18,157.5873875627299
2007-12-19,157.6037279670635
2007-12-20,157.63372170429992
2007-12-21,158.33976510778518
2007-12-22,158.32251389295448
2007-12-23,158.30526455765414
2007-12-24,158.28801710167954
2007-12-25,158.27077152482585
2007-12-26,159.43667730575797
2007-12-27,160.44843145763903
2007-12-28,160.087413636895
2007-12-29,160.06997201468175
2007-12-30,160.0525322927439
2007-12-31,159.5699736034673
2008-01-01,159.4872449897821
2008-01-02,159.94977165379476
2008-01-03,160.41446012222087
2008-01-04,160.22359613760892
2008-01-05,160.14052865511968
2008-01-06,160.05750423873815
2008-01-07,159.15729811064068
2008-01-08,159.33908886053467
2008-01-09,158.60465777073944
2008-01-10,159.0512497475459
2008-01-11,159.71684859835054
2008-01-12,159.63404383772846
2008-01-13,159.55128200700668
2008-01-14,160.87193189320192
2008-01-15,160.37623357135868
2008-01-16,159.15138398977302
2008-01-17,159.27484390219215
2008-01-18,158.70738898710056
2008-01-19,158.62510757803597
2008-01-20,158.54286882754147
2008-01-21,158.74134160928782
2008-01-22,158.21724467428018
2008-01-23,157.73254396911238
2008-01-24,159.01035337850556
2008-01-25,158.63314806787602
2008-01-26,158.5509051488117
2008-01-27,158.4687048683624
2008-01-28,158.98098123372313
2008-01-29,159.16134076706985
2008-01-30,159.24458726410003
2008-01-31,159.85188809800175
